image_id,PredictionString
CCTV01^20260318-110000-20260318-120000_000061,10 0.933105 0.775641 0.72614 0.150641 0.346866 3 0.892578 0.524439 0.878561 0.064904 0.191595 10 0.78125 0.410156 0.390491 0.108373 0.11218 3 0.766113 0.420473 0.501424 0.052484 0.058405 0 0.763672 0.864183 0.545762 0.029647 0.07443 0 0.750488 0.316506 0.479345 0.024439 0.056268 0 0.70752 0.141326 0.852208 0.063502 0.086182 0 0.6875 0.789663 0.477208 0.030449 0.066239 1 0.550781 0.882612 0.710292 0.040865 0.085114 0 0.539062 0.927484 0.662749 0.044071 0.090456 2 0.437744 0.191857 0.734152 0.060998 0.10292 7 0.424316 0.964343 0.634793 0.066506 0.117165 0 0.338135 0.304788 0.956553 0.043069 0.075499 0 0.329346 0.927885 0.664352 0.043269 0.0901 0 0.320801 0.8125 0.451389 0.027244 0.064459 10 0.224731 0.191707 0.616631 0.16226 0.226852 3 0.19873 0.642027 0.435007 0.046875 0.092949 0 0.17334 0.782252 0.93661 0.046875 0.098291
CCTV01^20260318-110000-20260318-120000_000065,0 0.905762 0.313802 0.808048 0.043069 0.103276 3 0.878906 0.524439 0.876424 0.064904 0.19302 3 0.868164 0.73137 0.626603 0.059695 0.105057 2 0.803223 0.24369 0.681624 0.052284 0.099715 10 0.762207 0.704327 0.446314 0.079327 0.175748 0 0.725098 0.898237 0.563034 0.048077 0.087607 1 0.689453 0.38752 0.549857 0.03105 0.052707 0 0.666992 0.29367 0.53953 0.036458 0.064815 3 0.286133 0.642628 0.404736 0.036058 0.071581 0 0.250977 0.899038 0.565883 0.044872 0.086182 1 0.243652 0.222556 0.797365 0.042067 0.083333 1 0.196777 0.222756 0.798077 0.048878 0.087607 4 0.188354 0.963542 0.633725 0.069711 0.110755 0 0.158203 0.941506 0.681802 0.052885 0.082265 7 0.154053 0.963542 0.633725 0.069711 0.111467
CCTV01^20260318-110000-20260318-120000_000069,3 0.853027 0.524038 0.875 0.060897 0.194444 0 0.830078 0.896234 0.687322 0.053686 0.094017 4 0.769043 0.701522 0.428775 0.056891 0.089031 2 0.686035 0.338742 0.504273 0.034455 0.064103 3 0.679199 0.70633 0.6599 0.048878 0.119658 1 0.584961 0.294371 0.659722 0.037861 0.07443 4 0.462891 0.971154 0.657051 0.057692 0.117521 0 0.413086 0.822917 0.49911 0.038461 0.064459 0 0.324219 0.925881 0.661859 0.040865 0.100783 0 0.276611 0.404848 0.470798 0.029247 0.058405 3 0.245117 0.883814 0.782764 0.06891 0.128205 10 0.234375 0.810897 0.795228 0.144231 0.393875 3 0.203735 0.350861 0.60292 0.067107 0.096154 0 0.169922 0.302885 0.513711 0.032051 0.057336
CCTV01^20260318-110000-20260318-120000_000073,3 0.891602 0.524038 0.877137 0.064103 0.19302 10 0.869629 0.244241 0.871083 0.129307 0.25641 3 0.859863 0.258313 0.688924 0.073918 0.106481 1 0.749023 0.201623 0.723647 0.035857 0.069801 1 0.737305 0.776843 0.653668 0.043269 0.076567 1 0.613281 0.664864 0.447828 0.027644 0.063034 1 0.598145 0.134866 0.798789 0.046575 0.084758 0 0.519531 0.319812 0.785969 0.049479 0.081909 5 0.428223 0.7498 0.379006 0.03726 0.071047 10 0.35498 0.875 0.598825 0.121795 0.256054 0 0.345215 0.944311 0.682514 0.039263 0.087963 1 0.286133 0.134415 0.799857 0.049279 0.08547 2 0.264404 0.804888 0.486823 0.032853 0.06339 6 0.243652 0.857171 0.883547 0.160657 0.232906 0 0.221313 0.320413 0.785969 0.046274 0.07906 1 0.176636 0.269631 0.551638 0.036859 0.064103
CCTV01^20260318-110000-20260318-120000_000077,7 0.977539 0.928686 0.729701 0.088141 0.130342 7 0.941406 0.831731 0.726496 0.11859 0.185185 5 0.906738 0.757412 0.615741 0.057292 0.131766 3 0.888672 0.524439 0.874644 0.066506 0.203704 2 0.873047 0.978365 0.67005 0.041667 0.085826 3 0.853027 0.697316 0.529915 0.046074 0.096866 0 0.708984 0.313201 0.752315 0.099159 0.199074 1 0.44165 0.74359 0.474715 0.036859 0.064815 2 0.413086 0.986378 0.873575 0.027244 0.114672 1 0.305664 0.886218 0.957265 0.067308 0.08547 5 0.299805 0.521234 0.375445 0.030449 0.058227 2 0.297363 0.983974 0.772436 0.032051 0.096154
CCTV01^20260318-110000-20260318-120000_000081,3 0.891113 0.770232 0.874288 0.058894 0.175926 3 0.862305 0.52484 0.877493 0.064904 0.196581 0 0.829102 0.279647 0.914886 0.058494 0.099003 1 0.804199 0.744992 0.675214 0.033253 0.079772 12 0.754883 0.815905 0.72062 0.062099 0.181268 3 0.737305 0.30619 0.749466 0.057091 0.123576 12 0.535156 0.347756 0.92735 0.083333 0.145299 10 0.457031 0.226913 0.708333 0.161959 0.361111 2 0.356689 0.363281 0.566417 0.051082 0.085826 0 0.267334 0.919872 0.736289 0.043269 0.105769 0 0.228149 0.920272 0.737536 0.047276 0.10755 2 0.156616 0.043582 0.707621 0.075295 0.108974
CCTV01^20260318-110000-20260318-120000_000085,3 0.89502 0.524038 0.877493 0.065705 0.198006 2 0.790527 0.696915 0.479523 0.039663 0.075855 2 0.777344 0.019594 0.851496 0.039037 0.124644 12 0.700684 0.304187 0.81161 0.09355 0.128917 0 0.675781 0.840945 0.494836 0.03125 0.069444 2 0.65332 0.098307 0.71688 0.054587 0.083333 4 0.594727 0.771635 0.429487 0.057692 0.103989 3 0.577637 0.180439 0.935897 0.075421 0.128205 10 0.567871 0.238782 0.677528 0.158654 0.3401 1 0.470703 0.843349 0.783476 0.040865 0.086895 10 0.455078 0.490184 0.426371 0.077324 0.138711 0 0.443604 0.347556 0.917023 0.058894 0.084758 0 0.42627 0.264323 0.891738 0.052684 0.08547 3 0.418701 0.832332 0.931268 0.062901 0.137464 0 0.289307 0.012432 0.956553 0.024865 0.086895 0 0.233765 0.006707 0.738782 0.013379 0.082265 0 0.226074 0.954327 0.624288 0.051282 0.108262 0 0.217285 0.379407 0.97614 0.054487 0.047721 0 0.203125 0.788462 0.651353 0.040865 0.080484 0 0.177856 0.006661 0.740385 0.013321 0.086182 0 0.172119 0.016088 0.671118 0.032176 0.069444 0 0.155029 0.788862 0.650463 0.04407 0.085826 2 0.154053 0.091647 0.794159 0.058293 0.103989
CCTV01^20260318-110000-20260318-120000_000089,3 0.884277 0.524439 0.877137 0.067308 0.200143 3 0.868652 0.499599 0.439815 0.032853 0.056268 3 0.833496 0.146434 0.70032 0.079327 0.099359 0 0.705566 0.077148 0.821225 0.062851 0.115385 2 0.705566 0.876202 0.910256 0.068109 0.179487 12 0.666992 0.297376 0.792735 0.094752 0.098291 10 0.635254 0.284155 0.604345 0.152043 0.269943 0 0.616699 0.751202 0.457799 0.033654 0.063746 10 0.583008 0.44992 0.401798 0.076122 0.107372 1 0.519531 0.727564 0.54416 0.030449 0.069801 2 0.496094 0.034655 0.726318 0.063301 0.097222 0 0.484375 0.854567 0.551994 0.029647 0.075499 3 0.482422 0.208083 0.828704 0.067007 0.131766 2 0.434082 0.805689 0.469729 0.028045 0.074786 3 0.389648 0.10016 0.959758 0.071114 0.080484 1 0.345215 0.167017 0.768875 0.037961 0.07906 1 0.297363 0.140325 0.819444 0.038462 0.086182 0 0.24939 0.889824 0.544338 0.029647 0.067308 3 0.24292 0.456731 0.474537 0.060897 0.059473 0 0.15564 0.875801 0.9099 0.067308 0.180199
CCTV01^20260318-110000-20260318-120000_000126,3 0.949219 0.299479 0.612714 0.091747 0.088675 10 0.93457 0.353165 0.442308 0.116587 0.141026 3 0.926758 0.52484 0.879986 0.067308 0.187322 2 0.92627 0.848157 0.48344 0.042468 0.083689 3 0.921387 0.208984 0.85933 0.082833 0.147436 2 0.911133 0.317107 0.536681 0.036458 0.078348 2 0.89502 0.937099 0.861467 0.064904 0.116097 0 0.875 0.222456 0.689993 0.030248 0.085826 0 0.873047 0.797276 0.548611 0.027244 0.07443 0 0.868652 0.188802 0.612714 0.026242 0.065171 1 0.863281 0.151292 0.801994 0.030148 0.089744 0 0.85791 0.275441 0.50463 0.026042 0.059829 1 0.852051 0.924279 0.967236 0.03766 0.064103 1 0.830078 0.263522 0.671652 0.022236 0.066952 1 0.830078 0.942708 0.688924 0.026442 0.070157 1 0.790527 0.192558 0.734687 0.023738 0.077635 1 0.769043 0.169772 0.715456 0.02504 0.071937 0 0.751953 0.198367 0.553063 0.028746 0.054843 1 0.744629 0.652244 0.467236 0.018429 0.054131 0 0.744629 0.395433 0.922365 0.032853 0.078348 0 0.740234 0.305589 0.892806 0.040264 0.100427 2 0.609375 0.30028 0.653846 0.034455 0.080484 0 0.605957 0.852564 0.598291 0.038461 0.090456 1 0.596191 0.957532 0.787037 0.036859 0.081197 0 0.542969 0.76262 0.922365 0.034856 0.112536 0 0.172119 0.896234 0.528134 0.023237 0.058405
CCTV01^20260318-110000-20260318-120000_000130,6 0.964355 0.926683 0.799857 0.120994 0.292023 10 0.940918 0.21234 0.654202 0.158654 0.261396 2 0.935059 0.210637 0.928419 0.065505 0.13604 3 0.924805 0.524639 0.880342 0.066907 0.189459 3 0.920898 0.501803 0.406339 0.03726 0.053419 2 0.912598 0.789663 0.935541 0.051282 0.118946 7 0.907227 0.231671 0.801994 0.063902 0.131054 3 0.906738 0.443109 0.45495 0.046474 0.062322 2 0.90332 0.113507 0.955128 0.057843 0.08547 2 0.901367 0.848958 0.483084 0.039263 0.079416 1 0.891602 0.130509 0.84188 0.033454 0.082621 1 0.879883 0.826522 0.70032 0.02484 0.079416 0 0.85791 0.804087 0.576745 0.026442 0.078704 3 0.837402 0.385917 0.570869 0.051082 0.069801 0 0.799316 0.270433 0.449608 0.027244 0.056624 2 0.79834 0.19381 0.539174 0.029046 0.066952 1 0.786621 0.727564 0.646011 0.024038 0.066952 0 0.625977 0.286659 0.535791 0.024439 0.065171 0 0.529297 0.286859 0.535791 0.024439 0.065883 0 0.403564 0.982772 0.68839 0.032853 0.087607 0 0.361084 0.244992 0.723825 0.032051 0.075142 0 0.282959 0.850962 0.564637 0.027244 0.060185 2 0.269043 0.849359 0.482906 0.038461 0.07906
