epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1922,1.91023,2.91514,0.0058,0.41451,0.24081,0.15684,0.06582,2.05455,6.2886,0.00898,0.00331691,0.00331691,0.0701478
2,131.09,1.90832,2.26833,0.00565,0.491,0.25055,0.19516,0.08173,2.16642,3.64347,0.00941,0.00664912,0.00664912,0.0401467
3,197.817,1.92906,2.1625,0.00584,0.55304,0.29912,0.23697,0.11293,1.93128,3.8189,0.00793,0.00997681,0.00997681,0.010141
4,262.305,1.89261,2.11562,0.00588,0.31887,0.3672,0.29405,0.14567,1.94906,2.1607,0.00821,0.00998474,0.00998474,0.00998474
5,326.137,1.84085,2.04181,0.00563,0.55115,0.41657,0.36651,0.17847,1.93111,2.08876,0.00807,0.00997288,0.00997288,0.00997288
6,390.59,1.7992,1.98217,0.00533,0.55195,0.39818,0.35661,0.17958,1.91227,1.94437,0.00783,0.00995765,0.00995765,0.00995765
7,456.694,1.76521,1.84953,0.00511,0.4237,0.43129,0.40381,0.21699,1.82364,1.43659,0.00755,0.00993906,0.00993906,0.00993906
8,522.944,1.74016,1.7673,0.00523,0.37611,0.52553,0.42295,0.22391,1.80768,1.63916,0.00744,0.00991711,0.00991711,0.00991711
9,587.075,1.75023,1.78117,0.00517,0.44482,0.47412,0.44611,0.23562,1.82588,1.39699,0.00739,0.00989183,0.00989183,0.00989183
10,651.285,1.73954,1.68682,0.0052,0.45134,0.56952,0.48456,0.2645,1.76283,1.3705,0.00709,0.00986323,0.00986323,0.00986323
11,715.051,1.73865,1.73158,0.00513,0.39269,0.5212,0.45415,0.24945,1.76763,1.49617,0.00723,0.00983133,0.00983133,0.00983133
12,779.352,1.68044,1.64594,0.00503,0.48806,0.45695,0.37801,0.2036,1.78382,1.74295,0.00729,0.00979616,0.00979616,0.00979616
13,843.352,1.74522,1.67643,0.00508,0.49408,0.41837,0.44067,0.23724,1.8305,1.55069,0.00735,0.00975773,0.00975773,0.00975773
14,907.612,1.73419,1.65044,0.005,0.3826,0.60459,0.49246,0.27622,1.71883,1.4275,0.00704,0.00971608,0.00971608,0.00971608
