epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0686,1.63749,5.55981,0.00468,0.50201,0.1627,0.14918,0.07931,1.62716,4.50086,0.00658,0.000195034,0.000195034,0.000195034
2,119.97,1.5656,2.92825,0.00429,0.59664,0.28818,0.25223,0.13767,1.65724,2.7895,0.00662,0.000390968,0.000390968,0.000390968
3,177.318,1.57004,2.35774,0.00444,0.51901,0.31827,0.31641,0.1798,1.65535,2.04483,0.00668,0.000586636,0.000586636,0.000586636
4,234.797,1.55977,2.07123,0.00451,0.50599,0.42624,0.38028,0.2162,1.63984,1.87876,0.00678,0.000587103,0.000587103,0.000587103
5,292.799,1.55236,1.91509,0.00454,0.40843,0.4852,0.46482,0.27381,1.60925,1.55476,0.00664,0.000586406,0.000586406,0.000586406
6,351.419,1.5414,1.81069,0.00436,0.65394,0.46544,0.49817,0.28868,1.56989,1.48796,0.00643,0.00058551,0.00058551,0.00058551
7,409.388,1.50555,1.66667,0.00412,0.4924,0.56285,0.55371,0.32299,1.61744,1.32005,0.00684,0.000584417,0.000584417,0.000584417
8,466.722,1.49436,1.59805,0.00427,0.50635,0.56001,0.54836,0.32056,1.59443,1.30056,0.0066,0.000583126,0.000583126,0.000583126
9,524.442,1.5192,1.54817,0.0043,0.54836,0.64983,0.60226,0.36501,1.53212,1.25306,0.00629,0.00058164,0.00058164,0.00058164
10,583.319,1.48174,1.47594,0.00419,0.61647,0.6084,0.6426,0.38312,1.60057,1.16196,0.0068,0.000579958,0.000579958,0.000579958
11,640.057,1.49847,1.43036,0.00423,0.63614,0.67554,0.68735,0.4286,1.52995,1.1768,0.0063,0.000578082,0.000578082,0.000578082
12,696.746,1.44699,1.37057,0.00417,0.62841,0.70228,0.70137,0.43327,1.55287,1.09458,0.0064,0.000576014,0.000576014,0.000576014
13,754.278,1.47102,1.35657,0.00409,0.71879,0.66623,0.7192,0.45493,1.49349,1.06443,0.00612,0.000573755,0.000573755,0.000573755
14,811.935,1.45689,1.31266,0.004,0.70155,0.67464,0.73574,0.44201,1.57463,1.03728,0.00671,0.000571305,0.000571305,0.000571305
15,870.032,1.44481,1.28719,0.00405,0.73539,0.71429,0.76741,0.4846,1.52042,0.98633,0.00625,0.000568668,0.000568668,0.000568668
16,928.046,1.44043,1.26395,0.00384,0.71412,0.67641,0.72453,0.45785,1.48362,0.99934,0.0061,0.000565844,0.000565844,0.000565844
17,985.547,1.44515,1.26283,0.00412,0.75494,0.71432,0.78505,0.5,1.47504,0.90374,0.00593,0.000562837,0.000562837,0.000562837
18,1043.26,1.44424,1.22775,0.00384,0.66661,0.73673,0.76992,0.49951,1.45892,0.92611,0.00587,0.000559646,0.000559646,0.000559646
19,1100.88,1.41362,1.15764,0.00387,0.68133,0.77059,0.78321,0.49658,1.49715,0.88903,0.00605,0.000556276,0.000556276,0.000556276
20,1158.18,1.41553,1.19492,0.00391,0.74356,0.7206,0.79394,0.50511,1.48921,0.90105,0.00601,0.000552729,0.000552729,0.000552729
21,1215.56,1.39822,1.16733,0.00398,0.74053,0.75009,0.80771,0.50444,1.50529,0.92721,0.00612,0.000549005,0.000549005,0.000549005
22,1273.13,1.39182,1.10355,0.00386,0.7671,0.76582,0.83049,0.52206,1.48969,0.81066,0.00608,0.000545109,0.000545109,0.000545109
23,1330.5,1.41783,1.13481,0.00391,0.72253,0.75331,0.80868,0.52193,1.45676,0.83687,0.00598,0.000541043,0.000541043,0.000541043
24,1387.72,1.39762,1.10985,0.00381,0.80476,0.72369,0.82848,0.5337,1.48044,0.83723,0.00617,0.00053681,0.00053681,0.00053681
25,1445.45,1.40116,1.0837,0.00375,0.78925,0.7712,0.83949,0.53718,1.48375,0.82715,0.00609,0.000532412,0.000532412,0.000532412
26,1503.22,1.37523,1.03875,0.00382,0.81699,0.77971,0.84901,0.55501,1.43032,0.78781,0.00579,0.000527853,0.000527853,0.000527853
27,1560.35,1.36596,1.02451,0.00389,0.80047,0.7913,0.85306,0.56281,1.39963,0.76899,0.00558,0.000523136,0.000523136,0.000523136
28,1618.41,1.36141,1.02786,0.00381,0.81171,0.77105,0.83673,0.53948,1.44844,0.79343,0.00586,0.000518264,0.000518264,0.000518264
29,1679.43,1.35964,1.03055,0.0037,0.79825,0.8025,0.86606,0.57389,1.40608,0.73512,0.00569,0.00051324,0.00051324,0.00051324
30,1740.54,1.37617,1.03413,0.00382,0.79887,0.80044,0.85573,0.56649,1.42209,0.73771,0.00566,0.000508067,0.000508067,0.000508067
31,1798.13,1.34973,1.00938,0.00385,0.8215,0.8168,0.87238,0.57969,1.41527,0.71802,0.00569,0.00050275,0.00050275,0.00050275
32,1855.43,1.35689,0.98246,0.00366,0.79097,0.80629,0.86138,0.55858,1.43964,0.75101,0.00577,0.000497292,0.000497292,0.000497292
33,1912.82,1.35657,0.99598,0.00373,0.81246,0.82206,0.87777,0.58321,1.4051,0.70877,0.00564,0.000491697,0.000491697,0.000491697
34,1969.86,1.32682,0.96589,0.00352,0.85234,0.82627,0.88958,0.58794,1.42942,0.6612,0.0058,0.000485968,0.000485968,0.000485968
35,2026.97,1.3311,0.95576,0.00364,0.82905,0.81811,0.88187,0.59134,1.36449,0.67163,0.00547,0.00048011,0.00048011,0.00048011
36,2084.03,1.31408,0.93292,0.00353,0.82541,0.81184,0.8802,0.5899,1.36088,0.65513,0.00541,0.000474126,0.000474126,0.000474126
37,2141.32,1.33556,0.92082,0.00366,0.82395,0.83017,0.90204,0.59984,1.37704,0.65316,0.00551,0.000468021,0.000468021,0.000468021
38,2198.37,1.33544,0.93298,0.00365,0.83826,0.82631,0.89171,0.59645,1.37568,0.64313,0.00552,0.000461798,0.000461798,0.000461798
39,2255.19,1.3303,0.91699,0.00358,0.85106,0.8563,0.90565,0.60424,1.36955,0.61678,0.00549,0.000455463,0.000455463,0.000455463
40,2312.16,1.30916,0.9149,0.00361,0.86538,0.81979,0.90792,0.59622,1.41922,0.64417,0.00559,0.000449018,0.000449018,0.000449018
41,2369.23,1.29466,0.86972,0.0036,0.88972,0.83251,0.91777,0.61239,1.41775,0.63641,0.00571,0.00044247,0.00044247,0.00044247
42,2426.28,1.28894,0.88308,0.00351,0.853,0.82731,0.90784,0.61286,1.35114,0.62196,0.00539,0.000435822,0.000435822,0.000435822
43,2483.46,1.32853,0.90153,0.00362,0.85383,0.84663,0.9127,0.60999,1.33519,0.61594,0.00531,0.000429078,0.000429078,0.000429078
44,2540.61,1.2756,0.85567,0.00356,0.85179,0.8829,0.929,0.62064,1.36169,0.57986,0.00543,0.000422245,0.000422245,0.000422245
45,2597.72,1.28496,0.84085,0.0034,0.85856,0.87743,0.93051,0.62868,1.34987,0.58279,0.00541,0.000415325,0.000415325,0.000415325
46,2654.79,1.28587,0.85516,0.00347,0.87902,0.87223,0.92986,0.63247,1.33966,0.57176,0.0053,0.000408324,0.000408324,0.000408324
47,2711.92,1.28709,0.86247,0.00345,0.85621,0.87989,0.93291,0.63233,1.32596,0.57172,0.00525,0.000401247,0.000401247,0.000401247
48,2769.3,1.28286,0.82561,0.00342,0.8484,0.87688,0.92389,0.62546,1.32032,0.58606,0.00527,0.000394098,0.000394098,0.000394098
49,2826.33,1.27529,0.83205,0.00342,0.89533,0.83748,0.92799,0.63046,1.32887,0.58783,0.00523,0.000386882,0.000386882,0.000386882
50,2883.39,1.2668,0.82014,0.00342,0.88265,0.87716,0.93508,0.63922,1.32597,0.56779,0.00528,0.000379606,0.000379606,0.000379606
51,2940.59,1.26405,0.817,0.00338,0.86467,0.87588,0.93769,0.6429,1.31152,0.55718,0.00518,0.000372272,0.000372272,0.000372272
52,2997.81,1.25296,0.79251,0.00345,0.86657,0.88183,0.93278,0.63268,1.28644,0.56271,0.00516,0.000364887,0.000364887,0.000364887
53,3054.93,1.24769,0.79619,0.00334,0.88544,0.87866,0.94601,0.64534,1.30724,0.5322,0.00516,0.000357455,0.000357455,0.000357455
54,3112.1,1.24468,0.81063,0.00326,0.89489,0.87384,0.94325,0.64909,1.29904,0.55006,0.00516,0.000349981,0.000349981,0.000349981
55,3169.07,1.22901,0.75966,0.00337,0.91378,0.85055,0.94337,0.64702,1.30362,0.54717,0.00513,0.000342472,0.000342472,0.000342472
56,3226.05,1.2483,0.77584,0.00337,0.88838,0.87959,0.94728,0.65249,1.28505,0.5347,0.00506,0.000334931,0.000334931,0.000334931
57,3283.51,1.24498,0.78018,0.00323,0.87994,0.90706,0.94783,0.65373,1.28187,0.52949,0.005,0.000327364,0.000327364,0.000327364
