epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4073,1.80544,2.4811,1.43186,0.38519,0.01346,0.00012,2e-05,4.52046,1740.41,9.87522,0.00331395,0.00331395,0.0701744
2,83.1845,1.82146,2.16522,1.43191,0.53037,0.09743,0.0577,0.02696,2.0206,5.15386,1.57645,0.00664566,0.00664566,0.0401728
3,122.407,1.75932,2.13119,1.41449,0.11779,0.38513,0.12065,0.05547,1.9269,9.31584,1.53418,0.00997087,0.00997087,0.0101647
4,157.421,1.69492,1.94261,1.36677,0.3326,0.36349,0.2808,0.14008,1.78022,2.17758,1.38724,0.00997803,0.00997803,0.00997803
5,192.557,1.66293,1.83079,1.35725,0.53621,0.32325,0.27822,0.13468,1.68767,2.15517,1.34399,0.00996097,0.00996097,0.00996097
6,228.547,1.64811,1.79797,1.34288,0.41135,0.393,0.28842,0.15665,1.68151,2.11719,1.34323,0.00993906,0.00993906,0.00993906
7,264.261,1.60814,1.72144,1.32577,0.40889,0.39938,0.33488,0.17915,1.64901,1.83298,1.32084,0.00991232,0.00991232,0.00991232
8,300.19,1.60511,1.67442,1.31708,0.5693,0.40042,0.37784,0.19696,1.66171,1.75877,1.32351,0.00988079,0.00988079,0.00988079
9,335.892,1.55803,1.61901,1.31311,0.56187,0.37325,0.36818,0.20822,1.60437,1.70964,1.30127,0.00984449,0.00984449,0.00984449
10,371.505,1.56407,1.63821,1.30343,0.60037,0.39281,0.37927,0.21008,1.57532,1.68209,1.29961,0.00980345,0.00980345,0.00980345
11,407.293,1.55499,1.62114,1.30783,0.33988,0.48494,0.39159,0.20742,1.58488,1.85029,1.29731,0.00975773,0.00975773,0.00975773
12,443.504,1.55749,1.57608,1.28373,0.325,0.48649,0.41373,0.2333,1.54522,1.51799,1.27169,0.00970736,0.00970736,0.00970736
13,479.382,1.54504,1.54221,1.30164,0.38538,0.4253,0.37088,0.20875,1.62401,1.70172,1.30149,0.00965239,0.00965239,0.00965239
14,515.22,1.54878,1.53547,1.2987,0.40212,0.49308,0.41382,0.22614,1.58499,1.54742,1.28557,0.00959289,0.00959289,0.00959289
15,551.363,1.50479,1.47148,1.291,0.60023,0.40086,0.41116,0.23732,1.53021,1.82366,1.2656,0.00952889,0.00952889,0.00952889
16,587.246,1.53925,1.49436,1.28284,0.46827,0.4811,0.4204,0.24134,1.5226,1.55807,1.26113,0.00946048,0.00946048,0.00946048
17,622.973,1.50787,1.46299,1.25918,0.47324,0.53301,0.49141,0.27668,1.59072,1.4098,1.28031,0.00938772,0.00938772,0.00938772
18,659.006,1.52286,1.47382,1.2835,0.34535,0.57082,0.4605,0.26523,1.53387,1.55657,1.26648,0.00931067,0.00931067,0.00931067
19,694.394,1.48755,1.43575,1.26786,0.45066,0.52257,0.48677,0.27942,1.49867,1.41689,1.24479,0.00922942,0.00922942,0.00922942
20,730.007,1.51956,1.46051,1.27842,0.61462,0.43956,0.4616,0.26896,1.55148,1.59228,1.26432,0.00914405,0.00914405,0.00914405
21,764.606,1.47756,1.39686,1.25728,0.46194,0.55628,0.49359,0.28181,1.56575,1.33248,1.27368,0.00905463,0.00905463,0.00905463
22,799.865,1.47882,1.40706,1.26028,0.48398,0.54016,0.47997,0.27656,1.51615,1.51487,1.26852,0.00896127,0.00896127,0.00896127
23,835.529,1.47745,1.37544,1.26356,0.43101,0.55236,0.46716,0.27787,1.48201,1.55046,1.23425,0.00886404,0.00886404,0.00886404
24,871.733,1.4735,1.39632,1.24766,0.45274,0.57414,0.52096,0.29505,1.58767,1.36841,1.29327,0.00876305,0.00876305,0.00876305
25,907.462,1.49253,1.36773,1.27139,0.49376,0.48298,0.51571,0.3017,1.5029,1.30466,1.24598,0.00865839,0.00865839,0.00865839
26,943.051,1.47125,1.35569,1.24363,0.55001,0.55825,0.54352,0.31196,1.5378,1.44431,1.25932,0.00855018,0.00855018,0.00855018
27,978.583,1.46521,1.33884,1.26685,0.56041,0.51888,0.51465,0.30186,1.53835,1.32882,1.25928,0.00843851,0.00843851,0.00843851
28,1013.72,1.47499,1.32422,1.2576,0.49632,0.5998,0.54495,0.31364,1.53374,1.30622,1.25961,0.00832349,0.00832349,0.00832349
29,1048.91,1.46053,1.32983,1.2578,0.48497,0.59868,0.54715,0.32423,1.51339,1.27477,1.2454,0.00820525,0.00820525,0.00820525
30,1083.48,1.44263,1.30521,1.25378,0.46047,0.60194,0.52814,0.31915,1.48971,1.31541,1.24051,0.00808389,0.00808389,0.00808389
31,1117.91,1.42741,1.30867,1.22967,0.52333,0.56848,0.54311,0.32193,1.49698,1.27536,1.24414,0.00795954,0.00795954,0.00795954
32,1152.43,1.43013,1.29406,1.24065,0.47794,0.58111,0.55263,0.32886,1.46274,1.27679,1.23388,0.00783231,0.00783231,0.00783231
33,1187.35,1.43935,1.28782,1.24275,0.49312,0.6177,0.56918,0.3443,1.47447,1.27539,1.23004,0.00770234,0.00770234,0.00770234
34,1222.06,1.4125,1.23742,1.21262,0.49651,0.59069,0.57073,0.34568,1.49119,1.23231,1.22879,0.00756976,0.00756976,0.00756976
35,1257.6,1.4364,1.29546,1.23401,0.60532,0.57264,0.57399,0.33858,1.55606,1.28999,1.25518,0.00743468,0.00743468,0.00743468
36,1293.19,1.4283,1.26185,1.22913,0.56046,0.58495,0.5941,0.36343,1.43992,1.18454,1.22028,0.00729725,0.00729725,0.00729725
37,1328.99,1.39853,1.2348,1.22138,0.62399,0.55162,0.59174,0.3554,1.4857,1.20132,1.23497,0.00715761,0.00715761,0.00715761
38,1364.02,1.41907,1.23982,1.218,0.54484,0.53019,0.55257,0.33602,1.47412,1.24295,1.23438,0.00701588,0.00701588,0.00701588
39,1398.57,1.43265,1.22444,1.23391,0.58811,0.56216,0.55494,0.33352,1.44435,1.22349,1.21283,0.00687222,0.00687222,0.00687222
40,1433.08,1.40596,1.22476,1.21996,0.55428,0.60132,0.57764,0.34327,1.52029,1.29968,1.24909,0.00672675,0.00672675,0.00672675
41,1467.83,1.38399,1.19538,1.21319,0.51389,0.60145,0.60089,0.37005,1.45868,1.18069,1.22394,0.00657963,0.00657963,0.00657963
42,1502.46,1.39523,1.20073,1.2081,0.60748,0.54786,0.58729,0.35687,1.48295,1.18332,1.2246,0.00643101,0.00643101,0.00643101
43,1536.93,1.3944,1.16485,1.20538,0.56076,0.61367,0.61059,0.37744,1.44202,1.14519,1.21161,0.00628101,0.00628101,0.00628101
44,1571.66,1.37347,1.15085,1.20351,0.64568,0.5638,0.63345,0.38454,1.45184,1.13662,1.22426,0.00612981,0.00612981,0.00612981
45,1607.2,1.3727,1.12603,1.19278,0.61459,0.56592,0.62224,0.3823,1.4549,1.15559,1.2089,0.00597754,0.00597754,0.00597754
46,1643.06,1.37971,1.16148,1.19766,0.50242,0.63633,0.59983,0.37222,1.429,1.15947,1.20122,0.00582435,0.00582435,0.00582435
47,1677.97,1.38026,1.12227,1.2101,0.53018,0.66522,0.61643,0.36441,1.53642,1.18486,1.24377,0.0056704,0.0056704,0.0056704
48,1712.58,1.373,1.17501,1.20886,0.56962,0.60991,0.60152,0.36677,1.48208,1.14421,1.22529,0.00551584,0.00551584,0.00551584
49,1747.72,1.38271,1.13775,1.20513,0.54388,0.62943,0.62098,0.38219,1.52081,1.1146,1.23432,0.00536081,0.00536081,0.00536081
50,1783.33,1.33592,1.10834,1.18452,0.59972,0.6489,0.64797,0.40312,1.44524,1.12617,1.21294,0.00520548,0.00520548,0.00520548
51,1818.51,1.36967,1.11725,1.20204,0.5915,0.61947,0.6308,0.39019,1.4586,1.09316,1.21451,0.00505,0.00505,0.00505
52,1853.21,1.36395,1.10543,1.198,0.5896,0.61305,0.62838,0.3679,1.55924,1.1331,1.25741,0.00489452,0.00489452,0.00489452
53,1887.86,1.34185,1.09128,1.19333,0.5947,0.63653,0.63765,0.38908,1.51437,1.13061,1.23319,0.00473919,0.00473919,0.00473919
54,1922.72,1.3267,1.06635,1.17914,0.59461,0.62262,0.65149,0.39079,1.53337,1.1095,1.24131,0.00458416,0.00458416,0.00458416
55,1958.4,1.34024,1.06291,1.1887,0.57606,0.63998,0.64302,0.39531,1.45275,1.1109,1.20729,0.0044296,0.0044296,0.0044296
56,1993.18,1.3377,1.0646,1.18831,0.64209,0.64215,0.66226,0.39913,1.49622,1.07201,1.22491,0.00427565,0.00427565,0.00427565
57,2027.68,1.30573,1.01977,1.16964,0.62403,0.6669,0.63902,0.38559,1.49399,1.07346,1.22265,0.00412246,0.00412246,0.00412246
