epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.75,1.88199,2.6994,1.71152,0.17542,0.24827,0.08885,0.04008,2.0865,32.2261,2.30514,0.00331691,0.00331691,0.0701478
2,242.291,1.84956,2.34633,1.6963,0.36213,0.25505,0.2037,0.0912,1.92718,4.54206,1.90442,0.00664912,0.00664912,0.0401467
3,359.321,1.79302,2.21006,1.64616,0.36408,0.26249,0.1638,0.08056,1.86364,4.99293,1.7685,0.00997681,0.00997681,0.010141
4,473.308,1.79523,2.14525,1.67458,0.36956,0.35905,0.25857,0.12573,1.92854,3.57585,1.87175,0.00998474,0.00998474,0.00998474
5,584.729,1.73807,2.04889,1.64722,0.40708,0.35899,0.29735,0.14923,1.81795,2.18246,1.71388,0.00997288,0.00997288,0.00997288
6,695.516,1.70475,1.95916,1.60079,0.37321,0.28194,0.26023,0.12693,1.86598,2.29194,1.80552,0.00995765,0.00995765,0.00995765
7,806.018,1.64134,1.83928,1.55781,0.37495,0.38677,0.28235,0.14532,1.81415,1.9356,1.77587,0.00993906,0.00993906,0.00993906
8,916.474,1.64918,1.81038,1.59023,0.52247,0.45068,0.40286,0.20718,1.72487,1.62039,1.6897,0.00991711,0.00991711,0.00991711
9,1027.2,1.63284,1.75748,1.56249,0.39156,0.48487,0.37887,0.20665,1.68685,1.7219,1.6469,0.00989183,0.00989183,0.00989183
10,1139.22,1.62754,1.74869,1.57138,0.39588,0.55752,0.45342,0.24743,1.68026,1.52625,1.66318,0.00986323,0.00986323,0.00986323
11,1252.12,1.6202,1.69983,1.55308,0.4283,0.49855,0.43628,0.231,1.75325,1.49844,1.67655,0.00983133,0.00983133,0.00983133
12,1365.23,1.58628,1.67117,1.54198,0.3756,0.45275,0.38212,0.21248,1.68212,1.59243,1.66203,0.00979616,0.00979616,0.00979616
13,1478.84,1.60932,1.68262,1.54655,0.52476,0.42433,0.4364,0.24199,1.66437,1.60796,1.68268,0.00975773,0.00975773,0.00975773
14,1592.33,1.59104,1.61531,1.52897,0.40951,0.55105,0.47988,0.27446,1.66733,1.43097,1.61535,0.00971608,0.00971608,0.00971608
15,1706.38,1.58427,1.60588,1.52634,0.49683,0.50437,0.46684,0.26369,1.65492,1.40333,1.62531,0.00967122,0.00967122,0.00967122
16,1820.27,1.56862,1.58356,1.49631,0.42496,0.53739,0.48079,0.27601,1.62946,1.39026,1.60777,0.0096232,0.0096232,0.0096232
17,1934.25,1.57144,1.56461,1.52341,0.38286,0.63305,0.49398,0.2687,1.68818,1.38217,1.63255,0.00957205,0.00957205,0.00957205
18,2048.13,1.58406,1.58154,1.51078,0.41429,0.54998,0.44801,0.24508,1.69495,1.44517,1.65771,0.0095178,0.0095178,0.0095178
19,2161.73,1.55103,1.49072,1.49509,0.48282,0.52293,0.45391,0.2527,1.65987,1.49183,1.67381,0.00946048,0.00946048,0.00946048
20,2275.66,1.57376,1.54196,1.51604,0.55518,0.56944,0.50975,0.28589,1.62615,1.45341,1.59751,0.00940014,0.00940014,0.00940014
21,2389.33,1.53087,1.48338,1.50129,0.43531,0.61135,0.53662,0.29958,1.64249,1.38358,1.59267,0.00933683,0.00933683,0.00933683
22,2503.78,1.5328,1.47713,1.4989,0.48194,0.60541,0.51285,0.28546,1.6562,1.34885,1.6477,0.00927057,0.00927057,0.00927057
23,2617.36,1.57337,1.48325,1.51368,0.60496,0.50534,0.53942,0.30643,1.63573,1.29205,1.63851,0.00920142,0.00920142,0.00920142
24,2731.01,1.5375,1.46724,1.48352,0.45531,0.57914,0.51691,0.29808,1.65738,1.35546,1.63524,0.00912942,0.00912942,0.00912942
25,2844.01,1.54607,1.47345,1.48626,0.51887,0.58799,0.5346,0.30514,1.64568,1.22232,1.61343,0.00905463,0.00905463,0.00905463
26,2956.94,1.50852,1.42415,1.48664,0.51729,0.56638,0.52158,0.29811,1.6506,1.27843,1.64215,0.0089771,0.0089771,0.0089771
27,3069.76,1.49902,1.40824,1.48483,0.45859,0.64247,0.55456,0.32174,1.62981,1.23814,1.62255,0.00889687,0.00889687,0.00889687
28,3182.84,1.52957,1.42805,1.49142,0.61727,0.57705,0.56864,0.33252,1.62017,1.33647,1.63854,0.00881401,0.00881401,0.00881401
29,3296.02,1.52034,1.43431,1.47383,0.51182,0.58827,0.58776,0.34066,1.59724,1.2157,1.60363,0.00872857,0.00872857,0.00872857
30,3409.13,1.52005,1.4204,1.48685,0.45287,0.68768,0.60644,0.35207,1.59819,1.18513,1.60461,0.0086406,0.0086406,0.0086406
31,3521.98,1.48607,1.37571,1.47854,0.51912,0.65507,0.60574,0.35064,1.62422,1.27106,1.6163,0.00855018,0.00855018,0.00855018
32,3634.8,1.4942,1.38756,1.46509,0.58318,0.57543,0.60033,0.35954,1.57138,1.33604,1.6005,0.00845736,0.00845736,0.00845736
33,3747.77,1.49553,1.37233,1.46422,0.53461,0.64705,0.61942,0.35635,1.60282,1.1793,1.58717,0.0083622,0.0083622,0.0083622
34,3860.59,1.47389,1.36827,1.44901,0.45002,0.6164,0.555,0.30147,1.65721,1.22923,1.63401,0.00826477,0.00826477,0.00826477
35,3973.38,1.48544,1.36212,1.46252,0.56315,0.65855,0.65201,0.37556,1.59152,1.13273,1.58942,0.00816514,0.00816514,0.00816514
36,4086.39,1.4554,1.33911,1.4369,0.53536,0.69675,0.63345,0.37483,1.58124,1.16978,1.61249,0.00806337,0.00806337,0.00806337
37,4199.22,1.44409,1.27996,1.4372,0.59236,0.64365,0.64845,0.38624,1.53755,1.13177,1.57072,0.00795954,0.00795954,0.00795954
38,4312.1,1.44523,1.29542,1.44108,0.64342,0.67467,0.66114,0.38979,1.55152,1.10167,1.55979,0.00785371,0.00785371,0.00785371
39,4425.02,1.45157,1.2987,1.43936,0.55135,0.6715,0.6531,0.37413,1.62834,1.08827,1.61942,0.00774596,0.00774596,0.00774596
40,4537.74,1.44028,1.28115,1.44106,0.59568,0.66308,0.65048,0.38169,1.58851,1.08431,1.5919,0.00763637,0.00763637,0.00763637
41,4650.4,1.43966,1.25245,1.43854,0.58794,0.70181,0.67489,0.38519,1.62447,1.05031,1.59914,0.007525,0.007525,0.007525
42,4763.17,1.43985,1.28175,1.4364,0.65206,0.63041,0.67077,0.40879,1.57752,1.15882,1.62579,0.00741194,0.00741194,0.00741194
43,4876.65,1.47557,1.28744,1.45588,0.57682,0.67849,0.67145,0.40286,1.55525,1.15907,1.56337,0.00729725,0.00729725,0.00729725
44,4989.66,1.41607,1.27743,1.42844,0.59797,0.70386,0.68978,0.41463,1.54328,1.08109,1.5629,0.00718103,0.00718103,0.00718103
45,5103.2,1.41674,1.21671,1.40618,0.63891,0.68202,0.68864,0.40979,1.57318,1.09479,1.58585,0.00706335,0.00706335,0.00706335
46,5216.88,1.44677,1.25122,1.42582,0.64046,0.6619,0.69147,0.42205,1.49137,1.06935,1.54021,0.00694428,0.00694428,0.00694428
47,5330.65,1.42908,1.24948,1.41541,0.57865,0.65119,0.65495,0.38297,1.59765,1.09489,1.59768,0.00682392,0.00682392,0.00682392
48,5444.84,1.41659,1.21468,1.41599,0.55998,0.69324,0.68038,0.4132,1.52618,1.05604,1.5488,0.00670234,0.00670234,0.00670234
49,5558.35,1.41073,1.22083,1.41279,0.63434,0.70863,0.70631,0.43988,1.48645,1.07134,1.55603,0.00657963,0.00657963,0.00657963
50,5672.47,1.40314,1.20962,1.40634,0.65727,0.68979,0.70641,0.42098,1.52708,1.0481,1.56026,0.00645588,0.00645588,0.00645588
51,5786.56,1.42022,1.20881,1.40416,0.60682,0.67062,0.68406,0.41723,1.51243,1.03997,1.58388,0.00633115,0.00633115,0.00633115
52,5900.26,1.42912,1.19054,1.42357,0.63712,0.73397,0.72775,0.43572,1.54145,1.04578,1.56691,0.00620555,0.00620555,0.00620555
53,6014.23,1.40569,1.20147,1.40683,0.71332,0.67594,0.73745,0.45404,1.51981,1.05116,1.55446,0.00607916,0.00607916,0.00607916
54,6127.82,1.37367,1.18007,1.36507,0.67853,0.72625,0.74723,0.43658,1.55653,1.0422,1.55458,0.00595207,0.00595207,0.00595207
55,6241.06,1.36256,1.13117,1.39357,0.6559,0.74759,0.75713,0.47628,1.45973,0.96364,1.51154,0.00582435,0.00582435,0.00582435
56,113.396,1.37009,1.16024,1.38709,0.72989,0.70173,0.77871,0.49153,1.45514,0.93405,1.51424,0.0056961,0.0056961,0.0056961
57,227.087,1.37271,1.14389,1.36918,0.71119,0.69534,0.75132,0.42867,1.63139,1.00039,1.60219,0.00556742,0.00556742,0.00556742
58,339.688,1.37591,1.13606,1.3801,0.68404,0.67211,0.72657,0.45371,1.48392,0.99124,1.53139,0.00543837,0.00543837,0.00543837
