epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7577,1.88627,3.45409,0.00922,0.17301,0.43983,0.1785,0.09296,1.7766,3.47587,0.01104,0.000324324,0.000324324,0.0678919
2,43.4957,1.63692,1.59959,0.00789,0.41208,0.29299,0.32266,0.19127,1.54799,1.57018,0.00894,0.000651147,0.000651147,0.0348854
3,64.9877,1.58876,1.31777,0.00714,0.80301,0.42786,0.46459,0.27953,1.45978,1.14978,0.00816,0.000971369,0.000971369,0.00187227
4,86.0504,1.52308,1.11327,0.00756,0.76901,0.42912,0.50705,0.2901,1.4898,1.08382,0.00866,0.0009703,0.0009703,0.0009703
5,107.442,1.5325,1.04173,0.00678,0.71792,0.50858,0.49914,0.30489,1.45191,1.08056,0.00815,0.0009604,0.0009604,0.0009604
6,128.752,1.50686,0.97489,0.00661,0.68776,0.52511,0.54949,0.34307,1.36474,0.98447,0.00754,0.0009505,0.0009505,0.0009505
7,149.911,1.5013,0.94948,0.0069,0.62986,0.57294,0.6002,0.35826,1.41347,0.90541,0.00757,0.0009406,0.0009406,0.0009406
8,170.949,1.4132,0.87454,0.00663,0.55829,0.58153,0.55547,0.35307,1.40836,0.9182,0.00764,0.0009307,0.0009307,0.0009307
9,192,1.49916,0.87968,0.0064,0.64345,0.62805,0.65494,0.41283,1.38169,0.95203,0.00777,0.0009208,0.0009208,0.0009208
10,213.244,1.45682,0.84631,0.00662,0.62499,0.57163,0.62697,0.3864,1.41917,0.90141,0.00794,0.0009109,0.0009109,0.0009109
11,234.251,1.41808,0.80993,0.00662,0.72148,0.54991,0.61617,0.40044,1.31001,0.8187,0.00708,0.000901,0.000901,0.000901
12,255.187,1.43945,0.78757,0.00659,0.76886,0.56183,0.64427,0.40486,1.33308,0.8098,0.00718,0.0008911,0.0008911,0.0008911
13,276.439,1.4033,0.78206,0.00611,0.80529,0.66503,0.73121,0.4631,1.34133,0.75438,0.00721,0.0008812,0.0008812,0.0008812
14,297.733,1.37344,0.76679,0.00638,0.81359,0.62953,0.71049,0.4534,1.37076,0.77402,0.00742,0.0008713,0.0008713,0.0008713
15,318.831,1.38791,0.73471,0.00575,0.75642,0.62505,0.69338,0.42008,1.34793,0.74985,0.00724,0.0008614,0.0008614,0.0008614
16,339.799,1.42573,0.73459,0.00619,0.72276,0.66774,0.6777,0.42588,1.35394,0.76997,0.0072,0.0008515,0.0008515,0.0008515
17,360.75,1.36674,0.75898,0.00598,0.72703,0.61857,0.68073,0.43191,1.34852,0.7986,0.00734,0.0008416,0.0008416,0.0008416
18,381.728,1.35321,0.72364,0.00585,0.71129,0.67379,0.71991,0.46009,1.3432,0.69513,0.00712,0.0008317,0.0008317,0.0008317
19,402.862,1.40948,0.74758,0.00561,0.80329,0.6406,0.71103,0.4504,1.37216,0.69957,0.00726,0.0008218,0.0008218,0.0008218
20,423.815,1.34601,0.71446,0.0059,0.85448,0.71053,0.77976,0.49287,1.3433,0.64977,0.00698,0.0008119,0.0008119,0.0008119
21,445.128,1.35236,0.71489,0.00564,0.85946,0.71981,0.78121,0.49749,1.32876,0.72458,0.00686,0.000802,0.000802,0.000802
22,466.264,1.28315,0.66389,0.00593,0.93949,0.70614,0.80848,0.51367,1.31868,0.66426,0.00682,0.0007921,0.0007921,0.0007921
23,487.458,1.29531,0.66392,0.00597,0.77755,0.68186,0.72267,0.44577,1.30422,0.73456,0.00687,0.0007822,0.0007822,0.0007822
24,508.354,1.31387,0.70761,0.00591,0.74129,0.69613,0.72928,0.45984,1.32793,0.73107,0.00708,0.0007723,0.0007723,0.0007723
25,529.389,1.38581,0.70625,0.00569,0.8263,0.71925,0.79846,0.4991,1.33141,0.64141,0.00696,0.0007624,0.0007624,0.0007624
